0	2000	13
0	611	10
0	2178	16
0	2832	10
0	1948	18
0	4628	16
0	2226	10
0	2690	13
0	3190	19
0	4504	16
0	4454	16
0	2507	15
0	1750	19
0	3198	14
0	4899	12
1	1735	15
1	2937	15
1	1647	10
1	1454	17
1	3632	13
1	3523	16
1	2571	17
1	3009	16
1	1519	13
1	1116	18
1	3935	12
1	765	11
1	841	14
1	1298	15
1	2695	18
2	3519	11
2	2692	14
2	4422	13
2	1407	12
2	3471	17
2	1594	11
2	1417	19
2	2210	11
2	1352	13
2	73	15
2	3149	15
2	1864	15
2	1895	15
2	2845	18
2	1461	12
3	2041	13
3	3624	13
3	3193	15
3	1380	10
3	2842	16
3	3999	13
3	4835	18
3	580	11
3	2055	18
3	4470	10
3	781	16
3	1998	13
3	2714	13
3	4845	12
3	533	17
4	4873	11
4	1104	12
4	734	14
4	3780	15
4	1916	14
4	2732	18
4	4174	11
4	715	18
4	3092	16
4	1772	11
4	754	10
4	2505	18
4	484	16
4	815	17
4	1103	19
5	4492	13
5	1545	15
5	3481	17
5	3869	17
5	4036	12
5	3202	14
5	2266	16
5	3770	19
5	4608	14
5	1539	17
5	2195	18
5	1896	14
5	655	18
5	4771	16
5	358	11
6	1128	13
6	4809	19
6	3396	13
6	579	11
6	2340	16
6	4270	13
6	4820	19
6	4504	12
6	4993	12
6	962	11
6	4726	12
6	4889	18
6	3608	14
6	1519	13
6	808	19
7	4446	13
7	1451	19
7	4699	15
7	1368	18
7	1550	18
7	650	16
7	1012	15
7	2051	19
7	38	14
7	2323	15
7	4757	18
7	4785	16
7	1946	16
7	4863	11
7	3974	10
8	2025	17
8	2930	17
8	404	17
8	2108	14
8	2143	18
8	2757	16
8	4889	16
8	2420	14
8	3209	16
8	3699	10
8	1346	14
8	1110	10
8	2292	14
8	4118	17
8	4167	16
9	4207	11
9	1928	19
9	207	17
9	603	19
9	2691	14
9	933	16
9	4086	13
9	1082	18
9	3159	15
9	3267	15
9	1795	17
9	4260	14
9	3652	10
9	3176	18
9	361	17
10	216	11
10	4182	13
10	3380	13
10	924	17
10	3731	12
10	2777	10
10	4046	17
10	1906	17
10	3077	17
10	2475	13
10	2023	13
10	2145	19
10	47	12
10	1148	13
10	4540	16
11	4431	16
11	2514	16
11	619	15
11	1098	11
11	1799	11
11	1208	15
11	3400	11
11	3391	11
11	4016	18
11	4138	17
11	4181	17
11	1717	11
11	2901	11
11	2939	15
11	4744	15
12	4177	16
