0	1	12
0	2	11
1	2	18
3	2	17
3	1	11
4	0	18
4	1	18
5	0	12
5	1	18
6	1	16
6	3	18
7	6	12
7	4	18
8	1	18
8	5	11
9	0	17
9	2	14
10	3	14
10	5	15
11	1	15
11	2	10
12	6	17
12	1	18
13	0	19
13	3	17
14	0	12
14	11	17
15	1	11
15	10	18
16	8	14
16	2	11
17	0	16
17	6	16
18	1	18
18	3	14
19	15	14
19	8	12
20	8	12
20	11	14
21	19	18
21	6	13
22	6	12
22	8	10
23	6	16
23	3	13
24	22	18
24	2	17
25	0	12
25	1	14
26	0	14
26	1	19
27	1	12
27	8	16
28	11	11
28	23	13
29	0	11
29	23	13
30	3	13
30	24	11
31	1	10
31	0	11
32	0	18
32	8	13
33	11	11
33	2	16
34	2	13
34	27	17
35	3	16
35	30	17
36	13	11
36	28	18
37	0	17
37	33	13
38	5	11
38	23	19
39	19	10
39	23	16
40	19	11
40	11	13
41	4	13
41	6	17
42	0	15
42	38	16
43	11	16
43	3	13
44	0	10
44	39	10
45	38	15
45	13	15
46	6	19
46	2	15
47	11	14
47	22	17
48	16	19
48	3	16
49	13	14
49	1	12
50	22	14
50	11	18
51	45	16
51	6	14
52	1	15
52	35	13
53	2	19
53	32	18
54	52	17
54	0	17
55	4	16
55	41	11
56	35	11
56	23	12
57	3	17
57	11	11
58	8	19
58	21	18
59	8	14
59	40	12
60	0	17
60	56	14
61	27	11
61	0	11
62	37	17
62	32	17
63	10	10
63	62	14
64	8	11
64	6	16
65	47	10
65	3	10
66	40	12
66	0	10
67	11	14
67	47	16
68	0	14
68	42	12
69	24	13
69	53	19
70	2	14
70	7	18
71	56	18
71	41	13
72	6	16
72	38	11
73	39	15
73	23	17
74	27	14
74	30	13
75	50	18
75	40	12
76	54	15
76	0	18
77	27	17
77	6	18
78	67	12
78	38	18
79	74	15
79	24	19
80	8	19
80	0	17
81	7	13
81	49	12
82	40	13
82	35	15
83	45	15
83	24	15
84	27	10
84	47	13
85	24	17
85	46	15
86	11	17
86	30	11
87	22	15
87	47	15
88	3	16
88	39	10
89	19	17
89	70	14
90	7	12
90	74	11
91	6	17
91	24	13
92	0	19
92	23	12
93	42	19
93	1	10
94	35	18
94	3	19
95	63	13
95	1	17
96	91	12
96	3	19
97	73	15
97	4	16
98	19	14
98	48	11
99	91	18
99	92	14
100	26	16
100	2	16
101	11	17
101	87	18
102	1	10
102	3	11
103	11	17
103	14	13
104	5	17
104	77	16
105	11	13
105	2	12
106	54	16
106	40	13
107	49	15
107	74	10
108	75	16
108	40	14
109	19	13
109	0	17
110	75	11
110	72	14
111	1	11
111	35	12
112	8	13
112	2	14
113	102	17
113	29	10
114	65	11
114	11	11
115	52	18
115	46	12
116	0	18
116	1	11
117	0	19
117	11	11
118	13	18
118	23	13
119	19	14
119	50	10
120	20	13
120	63	12
121	1	13
121	10	17
122	6	16
122	104	10
123	27	15
123	21	14
124	32	12
124	60	19
125	0	11
125	6	11
126	125	13
126	8	10
127	115	11
127	4	15
128	118	18
128	109	10
129	97	18
129	16	13
130	118	15
130	50	19
131	2	16
131	69	14
132	30	13
132	3	16
133	14	11
133	9	19
134	72	17
134	99	10
135	0	13
135	23	15
136	6	11
136	91	12
137	6	14
137	22	12
138	0	19
138	22	10
139	52	15
139	16	11
140	40	14
140	81	16
141	31	10
141	41	17
142	13	14
142	64	12
143	3	19
143	8	14
144	48	11
144	88	19
145	32	13
145	10	13
146	24	11
146	73	18
147	0	11
147	33	13
148	78	14
148	6	17
149	39	10
149	2	11
150	24	12
150	16	19
151	138	15
151	118	14
152	2	14
152	149	11
153	5	13
153	129	12
154	83	12
154	34	11
155	125	11
155	38	18
156	42	18
156	2	10
157	0	15
157	1	10
158	109	19
158	1	11
159	105	10
159	64	13
160	149	15
160	4	16
161	23	14
161	5	13
162	11	14
162	97	17
163	105	18
163	0	12
164	11	13
164	135	14
165	75	15
165	1	18
166	150	16
166	83	16
167	22	17
167	87	17
168	83	18
168	39	14
169	110	10
169	135	18
170	11	10
170	0	12
171	124	15
171	2	10
172	11	16
172	150	10
173	74	11
173	60	11
174	113	19
174	31	11
175	62	10
175	38	14
176	131	10
176	67	13
177	122	16
177	74	10
178	11	12
178	116	19
179	58	14
179	55	12
180	121	12
180	22	14
181	66	14
181	132	19
182	39	11
182	91	12
183	3	11
183	125	15
184	39	18
184	69	17
185	124	13
185	3	17
186	33	16
186	5	18
187	125	13
187	19	18
188	58	14
188	1	18
189	160	12
189	11	11
190	186	15
190	68	12
191	133	13
191	5	13
192	77	17
192	37	11
193	21	11
193	6	15
194	22	14
194	45	14
195	24	16
195	86	17
196	21	17
196	171	12
197	39	19
197	2	15
198	38	13
198	15	18
199	49	16
199	169	15
200	0	12
200	11	13
201	88	17
201	6	16
202	27	18
202	4	10
203	97	12
203	45	16
204	6	13
204	87	12
205	87	16
205	3	18
206	2	11
206	42	16
207	105	10
207	132	14
208	2	11
208	182	11
209	89	19
209	142	19
210	110	17
210	4	17
211	75	16
211	45	16
212	119	19
212	50	15
213	16	13
213	64	18
214	188	16
214	0	18
215	41	18
215	0	19
216	0	17
216	98	18
217	27	18
217	45	10
218	91	12
218	22	18
219	39	11
219	35	15
220	44	11
220	2	18
221	5	17
221	131	17
222	22	14
222	158	19
223	179	18
223	128	19
224	46	13
224	181	17
225	71	16
225	19	16
226	27	12
226	225	17
227	52	13
227	130	18
228	135	13
228	52	11
229	155	10
229	46	17
230	63	16
230	187	15
231	131	15
231	71	13
232	146	17
232	121	16
233	146	14
233	109	13
234	36	14
234	75	13
235	88	14
235	76	12
236	233	13
236	83	17
237	21	19
237	152	10
